,word,segmentation,morph_structure
55859,Saint-Germain.,Saint-Germain .,"[['S', 'a', 'i', 'n', 't', '-', 'G', 'e', 'r', 'm', 'a', 'i', 'n', ' ', '.']]"
55860,Eufa,UEFA,"[['U', 'E', 'F', 'A']]"
55861,Carvajal:,Carvajal :,"[['C', 'a', 'r', 'v', 'a', 'j', 'a', 'l', ' ', ':']]"
55862,Esta,Esther,"[['E', 's', 't', 'h', 'e', 'r']]"
55863,1800.,1800 .,"[['1', '8', '0', '0', ' ', '.']]"
55864,1701,1701,"[['1', '7', '0', '1']]"
55865,aghọọkwa.,a + ghọ + ọ + kwa .,"[['a'], ['gh', 'ọ'], ['ọ'], ['kw', 'a', ' ', '.']]"
55866,Barbara.,Barbara .,"[['B', 'a', 'r', 'b', 'a', 'r', 'a', ' ', '.']]"
55867,ịna-agbanwe.,ị + na-a + gba + nwe .,"[['ị'], ['n', 'a', '-', 'a'], ['gb', 'a'], ['nw', 'e', ' ', '.']]"
55868,ụmụnne.,ụmụnne .,"[['ụ', 'm', 'ụ', 'n', 'n', 'e', ' ', '.']]"
55869,Annunziato.,Annunziato .,"[['A', 'n', 'n', 'u', 'n', 'z', 'i', 'a', 't', 'o', ' ', '.']]"
55870,"soro,","so + ro ,","[['s', 'o'], ['r', 'o', ' ', ',']]"
55871,19;;;,19 ; ; ;,"[['1', '9', ' ', ';', ' ', ';', ' ', ';']]"
55872,Anas.,Anas .,"[['A', 'n', 'a', 's', ' ', '.']]"
55873,nchụàjà”,nchụaja ”,"[['n', 'ch', 'ụ', 'a', 'j', 'a', ' ', '”']]"
55874,Erọn.,Aaron .,"[['A', 'a', 'r', 'o', 'n', ' ', '.']]"
55875,nchụàjà.),nchụaja . ),"[['n', 'ch', 'ụ', 'a', 'j', 'a', ' ', '.', ' ', ')']]"
55876,Scriptures?,Scriptures ?,"[['S', 'c', 'r', 'i', 'p', 't', 'u', 'r', 'e', 's', ' ', '?']]"
55877,Greek,Greek,"[['G', 'r', 'e', 'e', 'k']]"
55878,mentioned,mentioned,"[['m', 'e', 'n', 't', 'i', 'o', 'n', 'e', 'd']]"
55879,priests”,priests ”,"[['p', 'r', 'i', 'e', 's', 't', 's', ' ', '”']]"
55880,“chief,“ chief,"[['“', ' ', 'ch', 'i', 'e', 'f']]"
55881,Who,Who,"[['W', 'h', 'o']]"
55882,ọkara),ọkara ),"[['ọ', 'k', 'a', 'r', 'a', ' ', ')']]"
55883,"ogologo),","ogologo ) ,","[['o', 'g', 'o', 'l', 'o', 'g', 'o', ' ', ')', ' ', ',']]"
55884,ịgụ.,ị + gụ .,"[['ị'], ['g', 'ụ', ' ', '.']]"
55885,nkebi.,nkebi .,"[['n', 'k', 'e', 'b', 'i', ' ', '.']]"
55886,Rachel.,Rachel .,"[['R', 'a', 'ch', 'e', 'l', ' ', '.']]"
55887,ada.”,a + da . ”,"[['a'], ['d', 'a', ' ', '.', ' ', '”']]"
55888,“Ahụrụ,“ a + hụ + rụ,"[['“', ' ', 'a'], ['h', 'ụ'], ['r', 'ụ']]"
55889,-50;,- 50 ;,"[['-', ' ', '5', '0', ' ', ';']]"
55890,ERUKWU,e + ru + kwu,"[['e'], ['r', 'u'], ['kw', 'u']]"
55891,69:,69 :,"[['6', '9', ' ', ':']]"
55892,-5;,- 5 ;,"[['-', ' ', '5', ' ', ';']]"
55893,emo.,emo .,"[['e', 'm', 'o', ' ', '.']]"
55894,"Hana,","Hannah ,","[['H', 'a', 'n', 'n', 'a', 'h', ' ', ',']]"
55895,“Elegharịla,“ e + le + gha + rị + la,"[['“', ' ', 'e'], ['l', 'e'], ['gh', 'a'], ['r', 'ị'], ['l', 'a']]"
55896,"tolite,","to + li + te ,","[['t', 'o'], ['l', 'i'], ['t', 'e', ' ', ',']]"
55897,"agbasaakwa,","a + gba + sa + a + kwa ,","[['a'], ['gb', 'a'], ['s', 'a'], ['a'], ['kw', 'a', ' ', ',']]"
55898,"tolitetụ,","to + li + te + tụ ,","[['t', 'o'], ['l', 'i'], ['t', 'e'], ['t', 'ụ', ' ', ',']]"
55899,ERUGHỊ,e + ru + ghị,"[['e'], ['r', 'u'], ['gh', 'ị']]"
55900,Melissa,Melissa,"[['M', 'e', 'l', 'i', 's', 's', 'a']]"
55901,elekọta.,e + le + kọ + ta .,"[['e'], ['l', 'e'], ['k', 'ọ'], ['t', 'a', ' ', '.']]"
55902,"ndụ.,","ndụ . ,","[['n', 'd', 'ụ', ' ', '.', ' ', ',']]"
55903,“echiche,“ echiche,"[['“', ' ', 'e', 'ch', 'i', 'ch', 'e']]"
55904,“ịnọ,“ ị + nọ,"[['“', ' ', 'ị'], ['n', 'ọ']]"
55905,jijiji.”),jijiji . ” ),"[['j', 'i', 'j', 'i', 'j', 'i', ' ', '.', ' ', '”', ' ', ')']]"
55906,Argunovo,Argunovo,"[['A', 'r', 'g', 'u', 'n', 'o', 'v', 'o']]"
55907,kuririakuri,ku + ri + rị + a + ku + ri,"[['k', 'u'], ['r', 'i'], ['r', 'ị'], ['a'], ['k', 'u'], ['r', 'i']]"
55908,Interfax,Interfax,"[['I', 'n', 't', 'e', 'r', 'f', 'a', 'x']]"
55909,Akọkụ,akụkọ,"[['a', 'k', 'ụ', 'k', 'ọ']]"
55910,Orsk.,Orsk .,"[['O', 'r', 's', 'k', ' ', '.']]"
55911,safuru,sa + fu + ru,"[['s', 'a'], ['f', 'u'], ['r', 'u']]"
55912,148,148,"[['1', '4', '8']]"
55913,Saratov,Saratov,"[['S', 'a', 'r', 'a', 't', 'o', 'v']]"
55914,Moscow.,Moscow .,"[['M', 'o', 's', 'c', 'o', 'w', ' ', '.']]"
55915,Ozị,ozi,"[['o', 'z', 'i']]"
55916,Udiri,ụdị + rị,"[['ụ', 'd', 'ị'], ['r', 'ị']]"
55917,fig,fig,"[['f', 'i', 'g']]"
55918,ákwá.”;,akwa . ” ;,"[['a', 'kw', 'a', ' ', '.', ' ', '”', ' ', ';']]"
55919,“bidoro,“ bi + do + ro,"[['“', ' ', 'b', 'i'], ['d', 'o'], ['r', 'o']]"
55920,akwụsị.”,a + kwụ + sị . ”,"[['a'], ['kw', 'ụ'], ['s', 'ị', ' ', '.', ' ', '”']]"
55921,Wolfelt,Wolfelt,"[['W', 'o', 'l', 'f', 'e', 'l', 't']]"
55922,chefuodịla,che + fu + o + dị + la,"[['ch', 'e'], ['f', 'u'], ['o'], ['d', 'ị'], ['l', 'a']]"
55923,Njọ?,njọ ?,"[['n', 'j', 'ọ', ' ', '?']]"
55924,ọma?”,ọma ? ”,"[['ọ', 'm', 'a', ' ', '?', ' ', '”']]"
55925,Nwụnahụ,nwụ + na + hụ,"[['nw', 'ụ'], ['n', 'a'], ['h', 'ụ']]"
55926,"ájá.,","aja . ,","[['a', 'j', 'a', ' ', '.', ' ', ',']]"
55927,nwụrụ.;,nwụ + rụ . ;,"[['nw', 'ụ'], ['r', 'ụ', ' ', '.', ' ', ';']]"
55928,28-30),28 - 30 ),"[['2', '8', ' ', '-', ' ', '3', '0', ' ', ')']]"
55929,"ndụ?,","ndụ ? ,","[['n', 'd', 'ụ', ' ', '?', ' ', ',']]"
55930,chere.”,che + re . ”,"[['ch', 'e'], ['r', 'e', ' ', '.', ' ', '”']]"
55931,"gbatịkwuo,","gba + tị + kwu + o ,","[['gb', 'a'], ['t', 'ị'], ['kw', 'u'], ['o', ' ', ',']]"
55932,Ichegbu,i + che + gbu,"[['i'], ['ch', 'e'], ['gb', 'u']]"
55933,ya?”),ya ? ” ),"[['y', 'a', ' ', '?', ' ', '”', ' ', ')']]"
55934,susuru,su + su + ru,"[['s', 'u'], ['s', 'u'], ['r', 'u']]"
55935,"emeri.""Ụgbọelu","e + me + ri .  "" ụgbọelu ""","[['e'], ['m', 'e'], ['r', 'i', ' ', '.', ' ', ' ', '""', ' ', 'ụ', 'gb', 'ọ', 'e', 'l', 'u', ' ', '""']]"
55936,ga-ebinyeaka.,ga- + e + bi + nye + aka .,"[['g', 'a', '-'], ['e'], ['b', 'i'], ['ny', 'e'], ['a', 'k', 'a', ' ', '.']]"
55937,refrii,referee,"[['r', 'e', 'f', 'e', 'r', 'e', 'e']]"
55938,ọzọ-ha,ọzọ + - + ha,"[['ọ', 'z', 'ọ'], ['-'], ['h', 'a']]"
55939,ibu-onye,i + bu + - + onye,"[['i'], ['b', 'u'], ['-'], ['o', 'ny', 'e']]"
55940,"oke.""Enwere","oke .  "" e + nwe + re ""","[['o', 'k', 'e', ' ', '.', ' ', ' ', '""', ' ', 'e'], ['nw', 'e'], ['r', 'e', ' ', '""']]"
55941,Ezuchaghị,e + zu + cha + ghị,"[['e'], ['z', 'u'], ['ch', 'a'], ['gh', 'ị']]"
55942,Atọhapụchabeghi,a + tọ + ha + pụ + cha + be + ghị,"[['a'], ['t', 'ọ'], ['h', 'a'], ['p', 'ụ'], ['ch', 'a'], ['b', 'e'], ['gh', 'ị']]"
55943,egwu-akwadoro,egwu + - + a + kwa + do + ro,"[['e', 'gw', 'u'], ['-'], ['a'], ['kw', 'a'], ['d', 'o'], ['r', 'o']]"
55944,“Robert,“ Robert,"[['“', ' ', 'R', 'o', 'b', 'e', 'r', 't']]"
55945,"Gail,","Gail ,","[['G', 'a', 'i', 'l', ' ', ',']]"
55946,36;,36 ;,"[['3', '6', ' ', ';']]"
55947,"gachakwara,","ga + cha + kwa + ra ,","[['g', 'a'], ['ch', 'a'], ['kw', 'a'], ['r', 'a', ' ', ',']]"
55948,"arịrị,","arịrị ,","[['a', 'r', 'ị', 'r', 'ị', ' ', ',']]"
55949,“bidoro”,“ bi + do + ro ”,"[['“', ' ', 'b', 'i'], ['d', 'o'], ['r', 'o', ' ', '”']]"
55950,na-amaghịdị.,na-a + ma + ghị + dị .,"[['n', 'a', '-', 'a'], ['m', 'a'], ['gh', 'ị'], ['d', 'ị', ' ', '.']]"
55951,"egwuregwu,""A","egwuregwu ,  "" a ""","[['e', 'gw', 'u', 'r', 'e', 'gw', 'u', ' ', ',', ' ', ' ', '""', ' ', 'a', ' ', '""']]"
55952,"League.""E","League .  "" e ""","[['L', 'e', 'a', 'g', 'u', 'e', ' ', '.', ' ', ' ', '""', ' ', 'e', ' ', '""']]"
55953,2017).,2017 ) .,"[['2', '0', '1', '7', ' ', ')', ' ', '.']]"
55954,(ikpeazụ,( ikpeazụ,"[['(', ' ', 'i', 'kp', 'e', 'a', 'z', 'ụ']]"
55955,Ian.,Ian .,"[['I', 'a', 'n', ' ', '.']]"
55956,mụmụwa,mụ + mụ + wa,"[['m', 'ụ'], ['m', 'ụ'], ['w', 'a']]"
55957,Ịkọrọ,ị + kọ + rọ,"[['ị'], ['k', 'ọ'], ['r', 'ọ']]"
55958,Imere,i + me + re,"[['i'], ['m', 'e'], ['r', 'e']]"
55959,“ndo.”,“ ndo . ”,"[['“', ' ', 'n', 'd', 'o', ' ', '.', ' ', '”']]"
55960,"ebilie,","e + bi + li + e ,","[['e'], ['b', 'i'], ['l', 'i'], ['e', ' ', ',']]"
55961,Jack.,Jack .,"[['J', 'a', 'c', 'k', ' ', '.']]"
55962,Gbalịsie,gba + lị + si + e,"[['gb', 'a'], ['l', 'ị'], ['s', 'i'], ['e']]"
55963,Nwụnahụrụ,nwụ + na + hụ + rụ,"[['nw', 'ụ'], ['n', 'a'], ['h', 'ụ'], ['r', 'ụ']]"
55964,hụrụ.”,hụ + rụ . ”,"[['h', 'ụ'], ['r', 'ụ', ' ', '.', ' ', '”']]"
55965,"Etienne,","Étienne ,","[['É', 't', 'i', 'e', 'n', 'n', 'e', ' ', ',']]"
55966,"Sozos,","Sozos ,","[['S', 'o', 'z', 'o', 's', ' ', ',']]"
55967,atọ.”,atọ . ”,"[['a', 't', 'ọ', ' ', '.', ' ', '”']]"
55968,kweghị.,kwe + ghị .,"[['kw', 'e'], ['gh', 'ị', ' ', '.']]"
55969,"Mbanefo),","Mbanefo ) ,","[['M', 'b', 'a', 'n', 'e', 'f', 'o', ' ', ')', ' ', ',']]"
55970,(Onyemaechi,( Onyemaechi,"[['(', ' ', 'O', 'ny', 'e', 'm', 'a', 'e', 'ch', 'i']]"
55971,Sozos,Sozos,"[['S', 'o', 'z', 'o', 's']]"
55972,nri.),nri . ),"[['n', 'r', 'i', ' ', '.', ' ', ')']]"
55973,rikọọkwa,ri + kọ + ọ + kwa,"[['r', 'i'], ['k', 'ọ'], ['ọ'], ['kw', 'a']]"
55974,Sozos.,Sozos .,"[['S', 'o', 'z', 'o', 's', ' ', '.']]"
55975,Poli.,Poli .,"[['P', 'o', 'l', 'i', ' ', '.']]"
55976,Saịprọs,Cyprus,"[['C', 'y', 'p', 'r', 'u', 's']]"
55977,"kparịtachaakwa,","kpa + rị + ta + cha + a + kwa ,","[['kp', 'a'], ['r', 'ị'], ['t', 'a'], ['ch', 'a'], ['a'], ['kw', 'a', ' ', ',']]"
55978,“Mama,“ mama,"[['“', ' ', 'm', 'a', 'm', 'a']]"
55979,“Ịgwa,“ ị + gwa,"[['“', ' ', 'ị'], ['gw', 'a']]"
55980,Ritsuko.,Ritsuko .,"[['R', 'i', 't', 's', 'u', 'k', 'o', ' ', '.']]"
55981,Kaori.,Kaori .,"[['K', 'a', 'o', 'r', 'i', ' ', '.']]"
55982,Niraị,Neriah,"[['N', 'e', 'r', 'i', 'a', 'h']]"
55983,Jekonaya.,Jeconiah .,"[['J', 'e', 'c', 'o', 'n', 'i', 'a', 'h', ' ', '.']]"
55984,Niraị.”,Neriah . ”,"[['N', 'e', 'r', 'i', 'a', 'h', ' ', '.', ' ', '”']]"
55985,"nwoke,”","nwoke , ”","[['nw', 'o', 'k', 'e', ' ', ',', ' ', '”']]"
55986,“ọgọ,“ ọgọ,"[['“', ' ', 'ọ', 'g', 'ọ']]"
55987,"“Josef,","“ Joseph ,","[['“', ' ', 'J', 'o', 's', 'e', 'p', 'h', ' ', ',']]"
55988,Josef.”,Joseph . ”,"[['J', 'o', 's', 'e', 'p', 'h', ' ', '.', ' ', '”']]"
55989,“Jekọb,“ Jacob,"[['“', ' ', 'J', 'a', 'c', 'o', 'b']]"
55990,dere?;,de + re ? ;,"[['d', 'e'], ['r', 'e', ' ', '?', ' ', ';']]"
55991,"ebi.,","e + bi . ,","[['e'], ['b', 'i', ' ', '.', ' ', ',']]"
55992,okorobịa”,okorobịa ”,"[['o', 'k', 'o', 'r', 'o', 'b', 'ị', 'a', ' ', '”']]"
55993,Shiol...,Sheol ...,"[['Sh', 'e', 'o', 'l', ' ', '.', '.', '.']]"
55994,agabigawo.”,a + ga + bi + ga + wo . ”,"[['a'], ['g', 'a'], ['b', 'i'], ['g', 'a'], ['w', 'o', ' ', '.', ' ', '”']]"
55995,“Amaokwu,“ amaokwu,"[['“', ' ', 'a', 'm', 'a', 'o', 'kw', 'u']]"
55996,Rob,Rob,"[['R', 'o', 'b']]"
55997,bọl.”,bọọlụ . ”,"[['b', 'ọ', 'ọ', 'l', 'ụ', ' ', '.', ' ', '”']]"
55998,"mgbọrọgwụ,","mgbọrọgwụ ,","[['m', 'gb', 'ọ', 'r', 'ọ', 'gw', 'ụ', ' ', ',']]"
55999,esiji.,e + si + ji .,"[['e'], ['s', 'i'], ['j', 'i', ' ', '.']]"
56000,na-esijikarịkwa,na-e + si + ji + ka + rị + kwa,"[['n', 'a', '-', 'e'], ['s', 'i'], ['j', 'i'], ['k', 'a'], ['r', 'ị'], ['kw', 'a']]"
56001,àgwà.”,agwa . ”,"[['a', 'gw', 'a', ' ', '.', ' ', '”']]"
56002,“Ajị,“ ajị,"[['“', ' ', 'a', 'j', 'ị']]"
56003,"World,","World ,","[['W', 'o', 'r', 'l', 'd', ' ', ',']]"
56004,silk,silk,"[['s', 'i', 'l', 'k']]"
56005,Ákwà,akwa,"[['a', 'kw', 'a']]"
56006,ogho.,ogho .,"[['o', 'gh', 'o', ' ', '.']]"
56007,Izrel.;),Israel . ; ),"[['I', 's', 'r', 'a', 'e', 'l', ' ', '.', ' ', ';', ' ', ')']]"
56008,"ajị,","ajị ,","[['a', 'j', 'ị', ' ', ',']]"
56009,135,135,"[['1', '3', '5']]"
56010,Ajị,ajị,"[['a', 'j', 'ị']]"
56011,"dị,”","dị , ”","[['d', 'ị', ' ', ',', ' ', '”']]"
56012,Hilaị.,Hillel .,"[['H', 'i', 'l', 'l', 'e', 'l', ' ', '.']]"
56013,"Hilaị,","Hillel ,","[['H', 'i', 'l', 'l', 'e', 'l', ' ', ',']]"
56014,mmekwata,mmekọrịta,"[['m', 'm', 'e', 'k', 'ọ', 'r', 'ị', 't', 'a']]"
56015,meela.”,me + e + la . ”,"[['m', 'e'], ['e'], ['l', 'a', ' ', '.', ' ', '”']]"
56016,“i,“ ị,"[['“', ' ', 'ị']]"
56017,“biko”,“ biko ”,"[['“', ' ', 'b', 'i', 'k', 'o', ' ', '”']]"
56018,ga-agbanweli.,ga- + a + gba + nwe + li .,"[['g', 'a', '-'], ['a'], ['gb', 'a'], ['nw', 'e'], ['l', 'i', ' ', '.']]"
56019,bụbu.”,bụ + bu . ”,"[['b', 'ụ'], ['b', 'u', ' ', '.', ' ', '”']]"
56020,-11.,- 11 .,"[['-', ' ', '1', '1', ' ', '.']]"
56021,niile?”,niile ? ”,"[['n', 'i', 'i', 'l', 'e', ' ', '?', ' ', '”']]"
56022,afụọ,a + fụ + ọ,"[['a'], ['f', 'ụ'], ['ọ']]"
56023,belt,belt,"[['b', 'e', 'l', 't']]"
56024,heroin,heroin,"[['h', 'e', 'r', 'o', 'i', 'n']]"
56025,alụminiọn,aluminium,"[['a', 'l', 'u', 'm', 'i', 'n', 'i', 'u', 'm']]"
56026,Ahụsiri,a + hụ + si + ri,"[['a'], ['h', 'ụ'], ['s', 'i'], ['r', 'i']]"
56027,Mọluuz,Mulhouse,"[['M', 'u', 'l', 'h', 'o', 'u', 's', 'e']]"
56028,anụnụ.,anụnụ .,"[['a', 'n', 'ụ', 'n', 'ụ', ' ', '.']]"
56029,"odo,","edo ,","[['e', 'd', 'o', ' ', ',']]"
56030,rutewerela.,ru + te + we + re + la .,"[['r', 'u'], ['t', 'e'], ['w', 'e'], ['r', 'e'], ['l', 'a', ' ', '.']]"
56031,"ibi,","i + bi ,","[['i'], ['b', 'i', ' ', ',']]"
56032,Ikegwuonwu,Ikegwuonwu,"[['I', 'k', 'e', 'gw', 'u', 'o', 'nw', 'u']]"
56033,Dobby,Dobby,"[['D', 'o', 'b', 'b', 'y']]"
56034,"ọbara.""Eze","ọbara .  "" eze ""","[['ọ', 'b', 'a', 'r', 'a', ' ', '.', ' ', ' ', '""', ' ', 'e', 'z', 'e', ' ', '""']]"
56035,Agwara,a + gwa + ra,"[['a'], ['gw', 'a'], ['r', 'a']]"
56036,Bishọp.,bishọp .,"[['b', 'i', 'sh', 'ọ', 'p', ' ', '.']]"
56037,"Okpanda,","Okpanda ,","[['O', 'kp', 'a', 'n', 'd', 'a', ' ', ',']]"
56038,Obrocho.,Obrocho .,"[['O', 'b', 'r', 'o', 'ch', 'o', ' ', '.']]"
56039,"ndụ.""A","ndụ .  "" a ""","[['n', 'd', 'ụ', ' ', '.', ' ', ' ', '""', ' ', 'a', ' ', '""']]"
56040,"Saụt-Afrịka,","South Africa ,","[['S', 'o', 'u', 't', 'h', ' ', 'A', 'f', 'r', 'i', 'c', 'a', ' ', ',']]"
56041,"ọrụ.""A","ọrụ .  "" a ""","[['ọ', 'r', 'ụ', ' ', '.', ' ', ' ', '""', ' ', 'a', ' ', '""']]"
56042,"oke""Chukwujekwu","oke  "" Chukwujekwu ""","[['o', 'k', 'e', ' ', ' ', '""', ' ', 'Ch', 'u', 'kw', 'u', 'j', 'e', 'kw', 'u', ' ', '""']]"
56043,"2017.""Anyị","2017 .  "" anyị ""","[['2', '0', '1', '7', ' ', '.', ' ', ' ', '""', ' ', 'a', 'ny', 'ị', ' ', '""']]"
56044,Laa”,la + a ”,"[['l', 'a'], ['a', ' ', '”']]"
56045,Amụtakwala,a + mụ + ta + kwa + la,"[['a'], ['m', 'ụ'], ['t', 'a'], ['kw', 'a'], ['l', 'a']]"
56046,ga-arahụ.”,ga- + a + ra + hụ . ”,"[['g', 'a', '-'], ['a'], ['r', 'a'], ['h', 'ụ', ' ', '.', ' ', '”']]"
56047,zụtọghị,zụ + tọ + ghị,"[['z', 'ụ'], ['t', 'ọ'], ['gh', 'ị']]"
56048,Sin.,Sin .,"[['S', 'i', 'n', ' ', '.']]"
56049,Mesopotemia.,Mesopotamia .,"[['M', 'e', 's', 'o', 'p', 'o', 't', 'a', 'm', 'i', 'a', ' ', '.']]"
56050,nwụchibeghị,nwụ + chi + be + ghị,"[['nw', 'ụ'], ['ch', 'i'], ['b', 'e'], ['gh', 'ị']]"
56051,Damburam,Danburam,"[['D', 'a', 'n', 'b', 'u', 'r', 'a', 'm']]"
56052,Chụọ,chụ + ọ,"[['ch', 'ụ'], ['ọ']]"
56053,MMIRI”,mmiri ”,"[['m', 'm', 'i', 'r', 'i', ' ', '”']]"
56054,KAMEL,camel,"[['c', 'a', 'm', 'e', 'l']]"
56055,ESETAKWARA,e + se + ta + kwa + ra,"[['e'], ['s', 'e'], ['t', 'a'], ['kw', 'a'], ['r', 'a']]"
56056,yanwa?,ya + nwa ?,"[['y', 'a'], ['nw', 'a', ' ', '?']]"
56057,Aịzik?,Isaac ?,"[['I', 's', 'a', 'a', 'c', ' ', '?']]"
56058,Aịzik.,Isaac .,"[['I', 's', 'a', 'a', 'c', ' ', '.']]"
56059,dú,du,"[['d', 'u']]"
56060,Kenan.),Canaan . ),"[['C', 'a', 'n', 'a', 'a', 'n', ' ', '.', ' ', ')']]"
56061,Negeb,Negev,"[['N', 'e', 'g', 'e', 'v']]"
56062,"Debora,","Deborah ,","[['D', 'e', 'b', 'o', 'r', 'a', 'h', ' ', ',']]"
56063,AHỤ?”,ahụ ? ”,"[['a', 'h', 'ụ', ' ', '?', ' ', '”']]"
56064,“ÒNYE,“ onye,"[['“', ' ', 'o', 'ny', 'e']]"
56065,laa.”,la + a . ”,"[['l', 'a'], ['a', ' ', '.', ' ', '”']]"
56066,na-eduzi?,na-e + du + zi ?,"[['n', 'a', '-', 'e'], ['d', 'u'], ['z', 'i', ' ', '?']]"
56067,kwuo.”,kwu + o . ”,"[['kw', 'u'], ['o', ' ', '.', ' ', '”']]"
56068,"nọtụkwuo,","nọ + tụ + kwu + o ,","[['n', 'ọ'], ['t', 'ụ'], ['kw', 'u'], ['o', ' ', ',']]"
56069,-54),- 54 ),"[['-', ' ', '5', '4', ' ', ')']]"
56070,2-4,2 - 4,"[['2', ' ', '-', ' ', '4']]"
56071,mezuo.;,me + zu + o . ;,"[['m', 'e'], ['z', 'u'], ['o', ' ', '.', ' ', ';']]"
56072,-38,- 38,"[['-', ' ', '3', '8']]"
56073,Elịiza.,Eliezer .,"[['E', 'l', 'i', 'e', 'z', 'e', 'r', ' ', '.']]"
56074,NWAANYỊ”,nwaanyị ”,"[['nw', 'a', 'a', 'ny', 'ị', ' ', '”']]"
56075,“LỤTARA,“ lụ + ta + ra,"[['“', ' ', 'l', 'ụ'], ['t', 'a'], ['r', 'a']]"
56076,-46;,- 46 ;,"[['-', ' ', '4', '6', ' ', ';']]"
56077,"-28,","- 28 ,","[['-', ' ', '2', '8', ' ', ',']]"
56078,cheghịdị,che + ghị + dị,"[['ch', 'e'], ['gh', 'ị'], ['d', 'ị']]"
56079,wụtuo”,wụ + tu + o ”,"[['w', 'ụ'], ['t', 'u'], ['o', ' ', '”']]"
56080,Negeb.,Negev .,"[['N', 'e', 'g', 'e', 'v', ' ', '.']]"
56081,nta:,nta :,"[['n', 't', 'a', ' ', ':']]"
56082,ebeela.,e + be + e + la .,"[['e'], ['b', 'e'], ['e'], ['l', 'a', ' ', '.']]"
56083,Machị,maachị,"[['m', 'a', 'a', 'ch', 'ị']]"
56084,Ọsị,ọsịsọ,"[['ọ', 's', 'ị', 's', 'ọ']]"
56085,aṅụri,anụrị,"[['a', 'n', 'ụ', 'r', 'ị']]"
56086,ibịazu,i + bịa + zụ,"[['i'], ['b', 'ị', 'a'], ['z', 'ụ']]"
56087,"ebeela,","e + be + e + la ,","[['e'], ['b', 'e'], ['e'], ['l', 'a', ' ', ',']]"
56088,chụpụb,chụ + pụ,"[['ch', 'ụ'], ['p', 'ụ']]"
56089,ngọzi.,ngọzi .,"[['n', 'g', 'ọ', 'z', 'i', ' ', '.']]"
56090,"kwụsịtụrụ,","kwụ + sị + tụ + rụ ,","[['kw', 'ụ'], ['s', 'ị'], ['t', 'ụ'], ['r', 'ụ', ' ', ',']]"
56091,agaruo.,a + ga + ru + o .,"[['a'], ['g', 'a'], ['r', 'u'], ['o', ' ', '.']]"
56092,-61;,- 61 ;,"[['-', ' ', '6', '1', ' ', ';']]"
56093,sozi,so + zị,"[['s', 'o'], ['z', 'ị']]"
56094,Papaịrọs,papyrus,"[['p', 'a', 'p', 'y', 'r', 'u', 's']]"
56095,NWERE:,nwe + re :,"[['nw', 'e'], ['r', 'e', ' ', ':']]"
56096,Irekasị,i + re + ka + sị,"[['i'], ['r', 'e'], ['k', 'a'], ['s', 'ị']]"
56097,"adịghịzi,","a + dị + ghị + zị ,","[['a'], ['d', 'ị'], ['gh', 'ị'], ['z', 'ị', ' ', ',']]"
56098,Faizal,Faizal,"[['F', 'a', 'i', 'z', 'a', 'l']]"
56099,ịdịgide.,ị + dị + gide .,"[['ị'], ['d', 'ị'], ['g', 'i', 'd', 'e', ' ', '.']]"
56100,Dịgide?,dị + gide ?,"[['d', 'ị'], ['g', 'i', 'd', 'e', ' ', '?']]"
56101,Anwụ?,anyanwụ ?,"[['a', 'ny', 'a', 'nw', 'ụ', ' ', '?']]"
56102,“Ejila,“ e + ji + la,"[['“', ' ', 'e'], ['j', 'i'], ['l', 'a']]"
56103,"na-alụbeghị,","na-a + lụ + be + ghị ,","[['n', 'a', '-', 'a'], ['l', 'ụ'], ['b', 'e'], ['gh', 'ị', ' ', ',']]"
56104,anya.”;,anya . ” ;,"[['a', 'ny', 'a', ' ', '.', ' ', '”', ' ', ';']]"
56105,abụọ?,abụọ ?,"[['a', 'b', 'ụ', 'ọ', ' ', '?']]"
56106,"Ribeka,","Rebekah ,","[['R', 'e', 'b', 'e', 'k', 'a', 'h', ' ', ',']]"
56107,-65),- 65 ),"[['-', ' ', '6', '5', ' ', ')']]"
56108,"Elịiza,","Eliezer ,","[['E', 'l', 'i', 'e', 'z', 'e', 'r', ' ', ',']]"
56109,"wụturu,","wụ + tu + ru ,","[['w', 'ụ'], ['t', 'u'], ['r', 'u', ' ', ',']]"
56110,Dịgidere,dị + gide + re,"[['d', 'ị'], ['g', 'i', 'd', 'e'], ['r', 'e']]"
56111,dịrurula,dị + ru + ru + la,"[['d', 'ị'], ['r', 'u'], ['r', 'u'], ['l', 'a']]"
56112,BARA:,ba + ra :,"[['b', 'a'], ['r', 'a', ' ', ':']]"
56113,ọzara.,ọzara .,"[['ọ', 'z', 'a', 'r', 'a', ' ', '.']]"
56114,imebi.”,i + me + bi . ”,"[['i'], ['m', 'e'], ['b', 'i', ' ', '.', ' ', '”']]"
56115,"Comfort,","Comfort ,","[['C', 'o', 'm', 'f', 'o', 'r', 't', ' ', ',']]"
56116,Masedonia,Macedonia,"[['M', 'a', 'c', 'e', 'd', 'o', 'n', 'i', 'a']]"
56117,“ga-edepụtara,“ ga- + e + de + pụ + ta + ra,"[['“', ' ', 'g', 'a', '-'], ['e'], ['d', 'e'], ['p', 'ụ'], ['t', 'a'], ['r', 'a']]"
56118,DỊGIDE:,dị + gide :,"[['d', 'ị'], ['g', 'i', 'd', 'e', ' ', ':']]"
